category_level1,order_year,order_month,sales_volume
Snack,2016,12,373158
Snack,2017,1,773077
Snack,2017,2,626791
Snack,2017,3,801418
Snack,2017,4,584260
Snack,2017,5,607498
Snack,2017,6,400713
Snack,2017,7,395659
Snack,2017,8,607050
Snack,2017,9,865637
Snack,2017,10,1069591
Snack,2017,11,1270210
Snack,2017,12,571146
Snack,2018,1,700874
Snack,2018,2,876580
Snack,2018,3,1020084
Snack,2018,4,639472
Snack,2018,5,517584
Snack,2018,6,471151
Snack,2018,7,321363
Snack,2018,8,498621
Snack,2018,9,696021
Snack,2018,10,768703
Snack,2018,11,924912
Snack,2018,12,512964
"Tickets & Vouchers",2016,1,12
"Tickets & Vouchers",2016,2,14
"Tickets & Vouchers",2016,3,13
"Tickets & Vouchers",2016,4,10
"Tickets & Vouchers",2016,5,333
"Tickets & Vouchers",2016,6,34
"Tickets & Vouchers",2016,7,14
"Tickets & Vouchers",2016,8,36
"Tickets & Vouchers",2016,9,55
"Tickets & Vouchers",2016,10,41
"Tickets & Vouchers",2016,11,36
"Tickets & Vouchers",2016,12,35
"Tickets & Vouchers",2017,1,20
"Tickets & Vouchers",2018,12,324
