zipcode,number_of_customers,Percentage
28306,29,0.00
29301,29,0.00
29706,29,0.00
29926,29,0.00
30084,29,0.00
30188,29,0.00
32827,29,0.00
33351,29,0.00
33805,29,0.00
33928,29,0.00
39503,29,0.00
40514,29,0.00
43219,29,0.00
43403,29,0.00
43537,29,0.00
45014,29,0.00
45215,29,0.00
45236,29,0.00
47250,29,0.00
48082,29,0.00
48312,29,0.00
48331,29,0.00
53158,29,0.00
55117,29,0.00
60005,29,0.00
60195,29,0.00
60459,29,0.00
60477,29,0.00
60641,29,0.00
61111,29,0.00
98388,29,0.00
98513,29,0.00
98682,29,0.00
63124,29,0.00
64020,29,0.00
64131,29,0.00
70122,29,0.00
75068,29,0.00
76129,29,0.00
76133,29,0.00
76208,29,0.00
76504,29,0.00
77904,29,0.00
78218,29,0.00
78539,29,0.00
79106,29,0.00
80203,29,0.00
80921,29,0.00
82604,29,0.00
83401,29,0.00
84097,29,0.00
84117,29,0.00
85050,29,0.00
89122,29,0.00
90266,29,0.00
90603,29,0.00
90712,29,0.00
90717,29,0.00
90740,29,0.00
90805,29,0.00
91201,29,0.00
91340,29,0.00
91436,29,0.00
91606,29,0.00
92104,29,0.00
92139,29,0.00
92201,29,0.00
92703,29,0.00
92860,29,0.00
95336,29,0.00
95677,29,0.00
97305,29,0.00
97322,29,0.00
66204,28,0.00
67846,28,0.00
68510,28,0.00
73127,28,0.00
75236,28,0.00
76115,28,0.00
76542,28,0.00
77068,28,0.00
77389,28,0.00
78744,28,0.00
80022,28,0.00
85013,28,0.00
85042,28,0.00
85250,28,0.00
87108,28,0.00
88101,28,0.00
89011,28,0.00
92054,28,0.00
92067,28,0.00
92404,28,0.00
94526,28,0.00
95969,28,0.00
97306,28,0.00
30135,28,0.00
30904,28,0.00
32137,28,0.00
32205,28,0.00
32250,28,0.00
32547,28,0.00
33014,28,0.00
33415,28,0.00
33827,28,0.00
34203,28,0.00
35055,28,0.00
37066,28,0.00
37204,28,0.00
40351,28,0.00
41042,28,0.00
44136,28,0.00
45424,28,0.00
46143,28,0.00
48152,28,0.00
48502,28,0.00
48906,28,0.00
50023,28,0.00
50310,28,0.00
52302,28,0.00
54729,28,0.00
54915,28,0.00
55101,28,0.00
55346,28,0.00
55441,28,0.00
60130,28,0.00
60192,28,0.00
60638,28,0.00
01850,28,0.00
01876,28,0.00
02180,28,0.00
02911,28,0.00
06068,28,0.00
06770,28,0.00
06840,28,0.00
08081,28,0.00
10514,28,0.00
10523,28,0.00
10954,28,0.00
11545,28,0.00
11561,28,0.00
11566,28,0.00
12047,28,0.00
13214,28,0.00
14127,28,0.00
14610,28,0.00
18505,28,0.00
18901,28,0.00
22310,28,0.00
22601,28,0.00
28278,28,0.00
98281,28,0.00
98512,28,0.00
98665,28,0.00
98684,28,0.00
99164,28,0.00
97701,27,0.00
98203,27,0.00
98661,27,0.00
99301,27,0.00
31326,27,0.00
32084,27,0.00
32210,27,0.00
33026,27,0.00
33990,27,0.00
35406,27,0.00
43229,27,0.00
43560,27,0.00
44011,27,0.00
46214,27,0.00
47130,27,0.00
52803,27,0.00
53005,27,0.00
53045,27,0.00
53590,27,0.00
55420,27,0.00
55427,27,0.00
55443,27,0.00
56562,27,0.00
60035,27,0.00
60060,27,0.00
60073,27,0.00
60102,27,0.00
60443,27,0.00
64055,27,0.00
68803,27,0.00
70364,27,0.00
70508,27,0.00
71203,27,0.00
73112,27,0.00
74401,27,0.00
76203,27,0.00
76904,27,0.00
77040,27,0.00
77346,27,0.00
77377,27,0.00
77381,27,0.00
77384,27,0.00
78247,27,0.00
78260,27,0.00
78702,27,0.00
83705,27,0.00
85041,27,0.00
85338,27,0.00
85382,27,0.00
86005,27,0.00
87701,27,0.00
90201,27,0.00
90260,27,0.00
91401,27,0.00
92025,27,0.00
92509,27,0.00
93004,27,0.00
01106,27,0.00
01864,27,0.00
01880,27,0.00
01887,27,0.00
02109,27,0.00
02188,27,0.00
02536,27,0.00
02540,27,0.00
06238,27,0.00
06483,27,0.00
06489,27,0.00
06615,27,0.00
07657,27,0.00
07712,27,0.00
08087,27,0.00
08822,27,0.00
10462,27,0.00
10603,27,0.00
11210,27,0.00
11426,27,0.00
11717,27,0.00
11754,27,0.00
11767,27,0.00
14075,27,0.00
15642,27,0.00
19050,27,0.00
23513,27,0.00
24019,27,0.00
24363,27,0.00
27268,27,0.00
27804,27,0.00
28557,27,0.00
29601,27,0.00
01085,26,0.00
01089,26,0.00
01453,26,0.00
01841,26,0.00
02882,26,0.00
06082,26,0.00
06107,26,0.00
06259,26,0.00
06405,26,0.00
06705,26,0.00
07055,26,0.00
07073,26,0.00
07643,26,0.00
07751,26,0.00
08012,26,0.00
08332,26,0.00
08638,26,0.00
08755,26,0.00
10302,26,0.00
10509,26,0.00
11203,26,0.00
11416,26,0.00
11434,26,0.00
11563,26,0.00
12019,26,0.00
12118,26,0.00
12545,26,0.00
12701,26,0.00
14224,26,0.00
14467,26,0.00
14609,26,0.00
14616,26,0.00
14904,26,0.00
15218,26,0.00
15401,26,0.00
15650,26,0.00
17701,26,0.00
18969,26,0.00
18974,26,0.00
19120,26,0.00
19140,26,0.00
19606,26,0.00
20175,26,0.00
21015,26,0.00
22305,26,0.00
22408,26,0.00
22701,26,0.00
23229,26,0.00
23435,26,0.00
28215,26,0.00
29150,26,0.00
32068,26,0.00
32082,26,0.00
32086,26,0.00
32955,26,0.00
33195,26,0.00
33312,26,0.00
33313,26,0.00
33449,26,0.00
33558,26,0.00
37601,26,0.00
38134,26,0.00
39157,26,0.00
39540,26,0.00
43209,26,0.00
44087,26,0.00
44130,26,0.00
44133,26,0.00
46123,26,0.00
48076,26,0.00
48336,26,0.00
49418,26,0.00
50158,26,0.00
50322,26,0.00
50401,26,0.00
52761,26,0.00
53132,26,0.00
54313,26,0.00
55127,26,0.00
55426,26,0.00
55437,26,0.00
60174,26,0.00
60189,26,0.00
60487,26,0.00
60643,26,0.00
98391,26,0.00
99709,26,0.00
64506,26,0.00
66215,26,0.00
67212,26,0.00
68127,26,0.00
68522,26,0.00
71303,26,0.00
71446,26,0.00
72719,26,0.00
73159,26,0.00
75038,26,0.00
75090,26,0.00
81505,26,0.00
83406,26,0.00
85022,26,0.00
85206,26,0.00
85395,26,0.00
88201,26,0.00
91915,26,0.00
93030,26,0.00
93314,26,0.00
96762,26,0.00
97068,26,0.00
97205,26,0.00
66614,25,0.00
68178,25,0.00
70360,25,0.00
71301,25,0.00
71360,25,0.00
72212,25,0.00
72756,25,0.00
75098,25,0.00
76028,25,0.00
76148,25,0.00
76502,25,0.00
77021,25,0.00
77065,25,0.00
78130,25,0.00
78255,25,0.00
79109,25,0.00
80523,25,0.00
82801,25,0.00
85383,25,0.00
85635,25,0.00
89081,25,0.00
89084,25,0.00
90241,25,0.00
90605,25,0.00
92706,25,0.00
93308,25,0.00
93313,25,0.00
94945,25,0.00
94947,25,0.00
95119,25,0.00
95377,25,0.00
96743,25,0.00
30075,25,0.00
30078,25,0.00
31794,25,0.00
32127,25,0.00
32207,25,0.00
32766,25,0.00
32809,25,0.00
33193,25,0.00
33325,25,0.00
33473,25,0.00
33484,25,0.00
33543,25,0.00
33609,25,0.00
33619,25,0.00
33625,25,0.00
33810,25,0.00
33914,25,0.00
34105,25,0.00
34655,25,0.00
34947,25,0.00
38238,25,0.00
39520,25,0.00
44709,25,0.00
45066,25,0.00
46229,25,0.00
46804,25,0.00
48034,25,0.00
48154,25,0.00
48170,25,0.00
49002,25,0.00
49341,25,0.00
55128,25,0.00
55343,25,0.00
55912,25,0.00
59758,25,0.00
60208,25,0.00
01020,25,0.00
01757,25,0.00
02124,25,0.00
02892,25,0.00
03051,25,0.00
03216,25,0.00
04330,25,0.00
05255,25,0.00
06610,25,0.00
07006,25,0.00
07031,25,0.00
07644,25,0.00
08619,25,0.00
08812,25,0.00
08857,25,0.00
08879,25,0.00
10040,25,0.00
10310,25,0.00
10604,25,0.00
10924,25,0.00
11004,25,0.00
11596,25,0.00
11722,25,0.00
11764,25,0.00
11783,25,0.00
13078,25,0.00
13501,25,0.00
14903,25,0.00
18031,25,0.00
18411,25,0.00
19064,25,0.00
19141,25,0.00
20017,25,0.00
20905,25,0.00
21237,25,0.00
21703,25,0.00
21704,25,0.00
22192,25,0.00
23453,25,0.00
23834,25,0.00
24112,25,0.00
28204,25,0.00
28303,25,0.00
29316,25,0.00
29418,25,0.00
29582,25,0.00
98366,25,0.00
98371,25,0.00
98383,25,0.00
98632,25,0.00
99203,25,0.00
98038,24,0.00
98039,24,0.00
98662,24,0.00
30360,24,0.00
31904,24,0.00
32810,24,0.00
33020,24,0.00
33141,24,0.00
33144,24,0.00
33323,24,0.00
33437,24,0.00
33441,24,0.00
33472,24,0.00
33487,24,0.00
33606,24,0.00
33611,24,0.00
33761,24,0.00
33967,24,0.00
34957,24,0.00
34990,24,0.00
39564,24,0.00
44321,24,0.00
46208,24,0.00
46307,24,0.00
46410,24,0.00
48064,24,0.00
48111,24,0.00
48150,24,0.00
49534,24,0.00
49544,24,0.00
49783,24,0.00
50677,24,0.00
52557,24,0.00
55430,24,0.00
57108,24,0.00
58105,24,0.00
60053,24,0.00
60069,24,0.00
60656,24,0.00
62656,24,0.00
63127,24,0.00
64118,24,0.00
65211,24,0.00
67901,24,0.00
68116,24,0.00
68502,24,0.00
72202,24,0.00
73401,24,0.00
75022,24,0.00
75033,24,0.00
75087,24,0.00
75605,24,0.00
76021,24,0.00
76053,24,0.00
76180,24,0.00
76401,24,0.00
77094,24,0.00
77373,24,0.00
78221,24,0.00
78752,24,0.00
79938,24,0.00
80218,24,0.00
80226,24,0.00
82414,24,0.00
84009,24,0.00
84062,24,0.00
84093,24,0.00
84120,24,0.00
85204,24,0.00
85297,24,0.00
89134,24,0.00
90680,24,0.00
91024,24,0.00
91411,24,0.00
92571,24,0.00
92596,24,0.00
93108,24,0.00
93436,24,0.00
93740,24,0.00
94904,24,0.00
97367,24,0.00
01607,24,0.00
01923,24,0.00
03264,24,0.00
05672,24,0.00
07040,24,0.00
07045,24,0.00
07624,24,0.00
07632,24,0.00
10020,24,0.00
11370,24,0.00
11414,24,0.00
11427,24,0.00
11714,24,0.00
11769,24,0.00
11771,24,0.00
12189,24,0.00
14109,24,0.00
19134,24,0.00
20745,24,0.00
21144,24,0.00
24073,24,0.00
27262,24,0.00
27330,24,0.00
27863,24,0.00
28025,24,0.00
01007,23,0.00
02720,23,0.00
03054,23,0.00
03110,23,0.00
03857,23,0.00
06333,23,0.00
06374,23,0.00
06470,23,0.00
07506,23,0.00
07821,23,0.00
08030,23,0.00
08080,23,0.00
08094,23,0.00
08558,23,0.00
08861,23,0.00
10309,23,0.00
10467,23,0.00
10920,23,0.00
11423,23,0.00
11730,23,0.00
11766,23,0.00
12054,23,0.00
12302,23,0.00
12524,23,0.00
13066,23,0.00
13212,23,0.00
15216,23,0.00
17068,23,0.00
17109,23,0.00
17870,23,0.00
19040,23,0.00
19053,23,0.00
20748,23,0.00
21229,23,0.00
23223,23,0.00
23224,23,0.00
25702,23,0.00
26301,23,0.00
27406,23,0.00
27523,23,0.00
27909,23,0.00
28134,23,0.00
28216,23,0.00
29632,23,0.00
29707,23,0.00
29733,23,0.00
32223,23,0.00
32317,23,0.00
32724,23,0.00
32804,23,0.00
33184,23,0.00
33319,23,0.00
33332,23,0.00
33556,23,0.00
33803,23,0.00
33904,23,0.00
34109,23,0.00
34134,23,0.00
34202,23,0.00
34231,23,0.00
34683,23,0.00
34737,23,0.00
35211,23,0.00
37069,23,0.00
40217,23,0.00
45206,23,0.00
45238,23,0.00
48207,23,0.00
49048,23,0.00
49428,23,0.00
50323,23,0.00
52806,23,0.00
53212,23,0.00
53546,23,0.00
54971,23,0.00
55060,23,0.00
55802,23,0.00
57201,23,0.00
60120,23,0.00
60543,23,0.00
61032,23,0.00
61938,23,0.00
98258,23,0.00
99216,23,0.00
64068,23,0.00
66221,23,0.00
67209,23,0.00
68182,23,0.00
68333,23,0.00
70607,23,0.00
73170,23,0.00
75207,23,0.00
76018,23,0.00
76105,23,0.00
78245,23,0.00
78251,23,0.00
78254,23,0.00
78602,23,0.00
78732,23,0.00
79029,23,0.00
80004,23,0.00
80211,23,0.00
80215,23,0.00
80227,23,0.00
80435,23,0.00
84015,23,0.00
84104,23,0.00
84602,23,0.00
85027,23,0.00
85255,23,0.00
85392,23,0.00
89169,23,0.00
90008,23,0.00
90301,23,0.00
90304,23,0.00
92408,23,0.00
92649,23,0.00
92844,23,0.00
94589,23,0.00
95343,23,0.00
95370,23,0.00
95610,23,0.00
95819,23,0.00
96789,23,0.00
97213,23,0.00
97222,23,0.00
97302,23,0.00
97304,23,0.00
63830,22,0.00
64119,22,0.00
67219,22,0.00
68022,22,0.00
70570,22,0.00
70817,22,0.00
72205,22,0.00
72762,22,0.00
72802,22,0.00
74134,22,0.00
75040,22,0.00
75104,22,0.00
76177,22,0.00
77059,22,0.00
77074,22,0.00
77338,22,0.00
77339,22,0.00
80026,22,0.00
80223,22,0.00
80403,22,0.00
80516,22,0.00
80550,22,0.00
80919,22,0.00
84041,22,0.00
84124,22,0.00
84627,22,0.00
86335,22,0.00
90021,22,0.00
90095,22,0.00
90265,22,0.00
90302,22,0.00
92058,22,0.00
92530,22,0.00
92587,22,0.00
92701,22,0.00
92808,22,0.00
93291,22,0.00
93304,22,0.00
93550,22,0.00
93730,22,0.00
95003,22,0.00
95204,22,0.00
95605,22,0.00
95621,22,0.00
95817,22,0.00
97034,22,0.00
97078,22,0.00
30064,22,0.00
30127,22,0.00
30677,22,0.00
31525,22,0.00
32750,22,0.00
32937,22,0.00
33469,22,0.00
33913,22,0.00
34209,22,0.00
34239,22,0.00
34243,22,0.00
34986,22,0.00
35233,22,0.00
35805,22,0.00
37055,22,0.00
38119,22,0.00
42103,22,0.00
42262,22,0.00
43609,22,0.00
44212,22,0.00
45011,22,0.00
45227,22,0.00
45805,22,0.00
48334,22,0.00
50312,22,0.00
51106,22,0.00
52732,22,0.00
53188,22,0.00
53222,22,0.00
55318,22,0.00
55415,22,0.00
55434,22,0.00
58703,22,0.00
60088,22,0.00
60124,22,0.00
62903,22,0.00
01719,22,0.00
01879,22,0.00
01940,22,0.00
02108,22,0.00
02190,22,0.00
02364,22,0.00
02532,22,0.00
02631,22,0.00
05201,22,0.00
06418,22,0.00
06461,22,0.00
06794,22,0.00
07005,22,0.00
07730,22,0.00
07740,22,0.00
07826,22,0.00
08034,22,0.00
08824,22,0.00
08830,22,0.00
10039,22,0.00
10562,22,0.00
10705,22,0.00
10901,22,0.00
10956,22,0.00
11598,22,0.00
11716,22,0.00
12010,22,0.00
13440,22,0.00
14216,22,0.00
15940,22,0.00
18976,22,0.00
19056,22,0.00
19133,22,0.00
19604,22,0.00
20111,22,0.00
21122,22,0.00
21244,22,0.00
22205,22,0.00
23901,22,0.00
27012,22,0.00
27284,22,0.00
28311,22,0.00
28602,22,0.00
98065,22,0.00
98277,22,0.00
98250,21,0.00
98310,21,0.00
30032,21,0.00
30813,21,0.00
32003,21,0.00
32459,21,0.00
32780,21,0.00
32909,21,0.00
32953,21,0.00
33316,21,0.00
33498,21,0.00
33510,21,0.00
34208,21,0.00
36606,21,0.00
38117,21,0.00
38506,21,0.00
40390,21,0.00
40506,21,0.00
41071,21,0.00
42301,21,0.00
44131,21,0.00
44667,21,0.00
45039,21,0.00
45150,21,0.00
45373,21,0.00
45402,21,0.00
46060,21,0.00
46260,21,0.00
46321,21,0.00
48038,21,0.00
48044,21,0.00
48302,21,0.00
48710,21,0.00
48842,21,0.00
49426,21,0.00
52641,21,0.00
53214,21,0.00
54115,21,0.00
54650,21,0.00
55068,21,0.00
55116,21,0.00
55378,21,0.00
55422,21,0.00
59808,21,0.00
60101,21,0.00
60181,21,0.00
60446,21,0.00
60585,21,0.00
63101,21,0.00
64105,21,0.00
64151,21,0.00
66611,21,0.00
67501,21,0.00
68132,21,0.00
68144,21,0.00
70056,21,0.00
70769,21,0.00
71291,21,0.00
74119,21,0.00
74501,21,0.00
75069,21,0.00
75225,21,0.00
76108,21,0.00
76123,21,0.00
76262,21,0.00
77396,21,0.00
77578,21,0.00
77598,21,0.00
78233,21,0.00
78747,21,0.00
80132,21,0.00
80517,21,0.00
84010,21,0.00
85023,21,0.00
85374,21,0.00
85742,21,0.00
86040,21,0.00
87507,21,0.00
89044,21,0.00
89179,21,0.00
90402,21,0.00
90723,21,0.00
92114,21,0.00
92551,21,0.00
93210,21,0.00
94503,21,0.00
94508,21,0.00
95206,21,0.00
97351,21,0.00
01040,21,0.00
01108,21,0.00
02191,21,0.00
02360,21,0.00
06029,21,0.00
06450,21,0.00
06831,21,0.00
07417,21,0.00
07430,21,0.00
07834,21,0.00
07869,21,0.00
08052,21,0.00
08863,21,0.00
10573,21,0.00
11507,21,0.00
11691,21,0.00
11701,21,0.00
11702,21,0.00
11763,21,0.00
11797,21,0.00
13090,21,0.00
14217,21,0.00
14546,21,0.00
14606,21,0.00
15068,21,0.00
15208,21,0.00
15235,21,0.00
18062,21,0.00
18519,21,0.00
18902,21,0.00
18914,21,0.00
19086,21,0.00
19132,21,0.00
19301,21,0.00
19317,21,0.00
19530,21,0.00
19607,21,0.00
19807,21,0.00
20903,21,0.00
21108,21,0.00
22151,21,0.00
22315,21,0.00
23509,21,0.00
23510,21,0.00
28540,21,0.00
28562,21,0.00
29212,21,0.00
29306,21,0.00
29588,21,0.00
01119,20,0.00
01843,20,0.00
02048,20,0.00
02090,20,0.00
02189,20,0.00
02324,20,0.00
02780,20,0.00
04654,20,0.00
05701,20,0.00
06351,20,0.00
07208,20,0.00
07645,20,0.00
07719,20,0.00
08527,20,0.00
08628,20,0.00
10707,20,0.00
11024,20,0.00
11581,20,0.00
11901,20,0.00
12304,20,0.00
13031,20,0.00
14526,20,0.00
14617,20,0.00
19125,20,0.00
19473,20,0.00
19525,20,0.00
20186,20,0.00
20720,20,0.00
21046,20,0.00
21215,20,0.00
22046,20,0.00
22079,20,0.00
28387,20,0.00
28405,20,0.00
28451,20,0.00
30009,20,0.00
30461,20,0.00
32712,20,0.00
32723,20,0.00
32808,20,0.00
32966,20,0.00
32968,20,0.00
33138,20,0.00
33301,20,0.00
33569,20,0.00
33705,20,0.00
33908,20,0.00
34638,20,0.00
34744,20,0.00
34952,20,0.00
34953,20,0.00
35210,20,0.00
35811,20,0.00
36526,20,0.00
36609,20,0.00
37912,20,0.00
39047,20,0.00
39531,20,0.00
41017,20,0.00
43085,20,0.00
44129,20,0.00
44507,20,0.00
44906,20,0.00
45439,20,0.00
46814,20,0.00
47712,20,0.00
50012,20,0.00
50219,20,0.00
52002,20,0.00
52804,20,0.00
53094,20,0.00
53095,20,0.00
53227,20,0.00
54016,20,0.00
54302,20,0.00
54403,20,0.00
54902,20,0.00
55119,20,0.00
55425,20,0.00
55436,20,0.00
56201,20,0.00
56537,20,0.00
57732,20,0.00
60018,20,0.00
60030,20,0.00
60106,20,0.00
60510,20,0.00
60523,20,0.00
60630,20,0.00
97754,20,0.00
98270,20,0.00
98387,20,0.00
98531,20,0.00
98944,20,0.00
99224,20,0.00
64155,20,0.00
64801,20,0.00
66209,20,0.00
66212,20,0.00
68118,20,0.00
68134,20,0.00
68901,20,0.00
70458,20,0.00
73116,20,0.00
73703,20,0.00
74014,20,0.00
74037,20,0.00
75220,20,0.00
76012,20,0.00
76048,20,0.00
76712,20,0.00
77080,20,0.00
77354,20,0.00
78213,20,0.00
78223,20,0.00
78228,20,0.00
78250,20,0.00
79406,20,0.00
80003,20,0.00
80104,20,0.00
80241,20,0.00
84088,20,0.00
84302,20,0.00
84401,20,0.00
85756,20,0.00
86336,20,0.00
87402,20,0.00
90814,20,0.00
91345,20,0.00
92084,20,0.00
92663,20,0.00
93654,20,0.00
94965,20,0.00
95380,20,0.00
95492,20,0.00
96080,20,0.00
96720,20,0.00
97140,20,0.00
97267,20,0.00
63128,19,0.00
63304,19,0.00
64014,19,0.00
67203,19,0.00
68135,19,0.00
71112,19,0.00
73019,19,0.00
75050,19,0.00
76209,19,0.00
78261,19,0.00
78733,19,0.00
79720,19,0.00
80128,19,0.00
80232,19,0.00
80238,19,0.00
80909,19,0.00
81504,19,0.00
81601,19,0.00
83001,19,0.00
83402,19,0.00
84040,19,0.00
84404,19,0.00
85086,19,0.00
89110,19,0.00
90606,19,0.00
90813,19,0.00
92394,19,0.00
92672,19,0.00
93035,19,0.00
93274,19,0.00
93446,19,0.00
93552,19,0.00
94507,19,0.00
94920,19,0.00
95814,19,0.00
95843,19,0.00
30082,19,0.00
30087,19,0.00
30165,19,0.00
30721,19,0.00
31709,19,0.00
31901,19,0.00
32204,19,0.00
32563,19,0.00
32571,19,0.00
32653,19,0.00
33304,19,0.00
33321,19,0.00
33330,19,0.00
33417,19,0.00
33444,19,0.00
33610,19,0.00
33781,19,0.00
33897,19,0.00
34112,19,0.00
34238,19,0.00
37072,19,0.00
37115,19,0.00
37918,19,0.00
38652,19,0.00
39202,19,0.00
42066,19,0.00
43068,19,0.00
44070,19,0.00
44718,19,0.00
46324,19,0.00
46514,19,0.00
46615,19,0.00
46953,19,0.00
47150,19,0.00
47933,19,0.00
48176,19,0.00
48393,19,0.00
48911,19,0.00
49321,19,0.00
53024,19,0.00
53718,19,0.00
54476,19,0.00
55438,19,0.00
56304,19,0.00
57703,19,0.00
60077,19,0.00
60178,19,0.00
60659,19,0.00
02030,19,0.00
02050,19,0.00
02136,19,0.00
02865,19,0.00
02889,19,0.00
04074,19,0.00
04102,19,0.00
06019,19,0.00
06111,19,0.00
06335,19,0.00
06355,19,0.00
06468,19,0.00
06710,19,0.00
07016,19,0.00
07701,19,0.00
07735,19,0.00
07746,19,0.00
07928,19,0.00
08330,19,0.00
08360,19,0.00
08823,19,0.00
08859,19,0.00
10030,19,0.00
10543,19,0.00
10577,19,0.00
10805,19,0.00
11413,19,0.00
12583,19,0.00
13224,19,0.00
14072,19,0.00
14120,19,0.00
14454,19,0.00
15201,19,0.00
15234,19,0.00
16823,19,0.00
17101,19,0.00
17112,19,0.00
17201,19,0.00
17202,19,0.00
18509,19,0.00
19153,19,0.00
19805,19,0.00
19963,19,0.00
20650,19,0.00
21060,19,0.00
21128,19,0.00
21146,19,0.00
21771,19,0.00
22301,19,0.00
22407,19,0.00
22989,19,0.00
23231,19,0.00
23321,19,0.00
23325,19,0.00
27408,19,0.00
28214,19,0.00
28411,19,0.00
28590,19,0.00
28625,19,0.00
28711,19,0.00
29303,19,0.00
29307,19,0.00
29576,19,0.00
98136,19,0.00
98374,19,0.00
98445,19,0.00
98408,18,0.00
98424,18,0.00
30141,18,0.00
30189,18,0.00
30260,18,0.00
31061,18,0.00
31201,18,0.00
31220,18,0.00
31407,18,0.00
32097,18,0.00
32807,18,0.00
33147,18,0.00
33594,18,0.00
33626,18,0.00
33760,18,0.00
33811,18,0.00
33823,18,0.00
33837,18,0.00
34476,18,0.00
35601,18,0.00
35603,18,0.00
37217,18,0.00
37760,18,0.00
37862,18,0.00
38654,18,0.00
39211,18,0.00
39309,18,0.00
39648,18,0.00
42001,18,0.00
43004,18,0.00
43082,18,0.00
43119,18,0.00
43623,18,0.00
44143,18,0.00
44320,18,0.00
45230,18,0.00
46219,18,0.00
48371,18,0.00
48917,18,0.00
49201,18,0.00
49203,18,0.00
49316,18,0.00
53221,18,0.00
54904,18,0.00
55082,18,0.00
55110,18,0.00
55301,18,0.00
55402,18,0.00
55411,18,0.00
55421,18,0.00
55433,18,0.00
59601,18,0.00
59602,18,0.00
59803,18,0.00
60463,18,0.00
60586,18,0.00
60714,18,0.00
61016,18,0.00
63026,18,0.00
64154,18,0.00
65803,18,0.00
68526,18,0.00
70058,18,0.00
70301,18,0.00
70815,18,0.00
73139,18,0.00
74601,18,0.00
75061,18,0.00
75077,18,0.00
75150,18,0.00
75165,18,0.00
75965,18,0.00
77041,18,0.00
77046,18,0.00
77551,18,0.00
78217,18,0.00
78526,18,0.00
78572,18,0.00
78640,18,0.00
80002,18,0.00
80017,18,0.00
80033,18,0.00
80221,18,0.00
80224,18,0.00
80910,18,0.00
80917,18,0.00
80924,18,0.00
82009,18,0.00
83712,18,0.00
84660,18,0.00
85012,18,0.00
85209,18,0.00
85213,18,0.00
85301,18,0.00
85747,18,0.00
87102,18,0.00
89015,18,0.00
90056,18,0.00
90063,18,0.00
90220,18,0.00
90255,18,0.00
91902,18,0.00
92029,18,0.00
92113,18,0.00
93901,18,0.00
94309,18,0.00
94559,18,0.00
94595,18,0.00
95405,18,0.00
95503,18,0.00
97215,18,0.00
97317,18,0.00
97478,18,0.00
97502,18,0.00
97603,18,0.00
01342,18,0.00
01906,18,0.00
02121,18,0.00
02122,18,0.00
02760,18,0.00
03087,18,0.00
03303,18,0.00
03743,18,0.00
04210,18,0.00
05301,18,0.00
06062,18,0.00
06241,18,0.00
06787,18,0.00
07026,18,0.00
07458,18,0.00
07621,18,0.00
07646,18,0.00
07921,18,0.00
08021,18,0.00
08077,18,0.00
08302,18,0.00
08865,18,0.00
08869,18,0.00
10520,18,0.00
10701,18,0.00
11572,18,0.00
11949,18,0.00
11973,18,0.00
13088,18,0.00
13454,18,0.00
14020,18,0.00
14094,18,0.00
14201,18,0.00
14208,18,0.00
14615,18,0.00
15102,18,0.00
15668,18,0.00
15801,18,0.00
17257,18,0.00
18512,18,0.00
19014,18,0.00
19333,18,0.00
19608,18,0.00
20132,18,0.00
20136,18,0.00
21213,18,0.00
21239,18,0.00
21701,18,0.00
21842,18,0.00
22153,18,0.00
23511,18,0.00
23517,18,0.00
25504,18,0.00
26105,18,0.00
26554,18,0.00
27332,18,0.00
28079,18,0.00
28110,18,0.00
28115,18,0.00
28304,18,0.00
28805,18,0.00
29063,18,0.00
29609,18,0.00
01420,17,0.00
01569,17,0.00
01749,17,0.00
01862,17,0.00
02543,17,0.00
02724,17,0.00
02893,17,0.00
02896,17,0.00
03867,17,0.00
06085,17,0.00
06234,17,0.00
06415,17,0.00
07106,17,0.00
07648,17,0.00
07764,17,0.00
08759,17,0.00
08810,17,0.00
10530,17,0.00
10580,17,0.00
10704,17,0.00
10803,17,0.00
10990,17,0.00
11514,17,0.00
11741,17,0.00
12305,17,0.00
13219,17,0.00
14043,17,0.00
17522,17,0.00
17552,17,0.00
18055,17,0.00
18106,17,0.00
18510,17,0.00
18951,17,0.00
18960,17,0.00
19526,17,0.00
19802,17,0.00
20004,17,0.00
20110,17,0.00
20708,17,0.00
20715,17,0.00
20747,17,0.00
20785,17,0.00
20833,17,0.00
21054,17,0.00
21158,17,0.00
22152,17,0.00
23234,17,0.00
23669,17,0.00
23875,17,0.00
25414,17,0.00
27023,17,0.00
27405,17,0.00
28601,17,0.00
29073,17,0.00
29575,17,0.00
29803,17,0.00
30045,17,0.00
30248,17,0.00
31792,17,0.00
31906,17,0.00
32055,17,0.00
32829,17,0.00
32830,17,0.00
32934,17,0.00
32962,17,0.00
33177,17,0.00
33446,17,0.00
33455,17,0.00
33813,17,0.00
33905,17,0.00
33966,17,0.00
33993,17,0.00
34110,17,0.00
34287,17,0.00
34668,17,0.00
34951,17,0.00
34997,17,0.00
36532,17,0.00
36535,17,0.00
37311,17,0.00
37388,17,0.00
37801,17,0.00
37921,17,0.00
38115,17,0.00
38401,17,0.00
38701,17,0.00
40218,17,0.00
40511,17,0.00
42240,17,0.00
42701,17,0.00
43701,17,0.00
44147,17,0.00
44303,17,0.00
44333,17,0.00
44446,17,0.00
45810,17,0.00
46628,17,0.00
46989,17,0.00
47630,17,0.00
48067,17,0.00
48317,17,0.00
48423,17,0.00
49441,17,0.00
52317,17,0.00
55330,17,0.00
55345,17,0.00
55428,17,0.00
55442,17,0.00
59802,17,0.00
60002,17,0.00
60133,17,0.00
