zipcode,number_of_customers,Percentage
91792,460,0.08
94306,459,0.08
11367,459,0.08
02467,457,0.08
22031,457,0.08
11377,456,0.08
91711,454,0.08
97403,445,0.08
14853,442,0.08
93107,441,0.08
30322,439,0.08
76706,435,0.07
94133,429,0.07
93111,428,0.07
32821,427,0.07
95050,424,0.07
75252,423,0.07
19702,420,0.07
89148,419,0.07
32304,418,0.07
11364,417,0.07
22102,417,0.07
55454,416,0.07
91324,416,0.07
77005,413,0.07
94530,413,0.07
61802,413,0.07
89147,412,0.07
92604,411,0.07
10032,411,0.07
11356,410,0.07
53233,409,0.07
30329,407,0.07
19010,407,0.07
27109,406,0.07
92108,406,0.07
94030,405,0.07
06901,404,0.07
94158,403,0.07
02116,401,0.07
89139,398,0.07
19103,397,0.07
02184,396,0.07
13902,396,0.07
13905,395,0.07
29630,395,0.07
94501,392,0.07
20850,391,0.07
94010,390,0.07
77479,389,0.07
90089,389,0.07
92115,388,0.07
24061,388,0.07
02141,387,0.07
10011,387,0.07
65203,386,0.07
98033,386,0.07
94577,385,0.07
07024,384,0.07
97201,383,0.07
33613,383,0.07
37235,382,0.07
10013,380,0.06
91105,379,0.06
53211,378,0.06
91767,377,0.06
21217,377,0.06
06250,374,0.06
94544,374,0.06
20852,373,0.06
77030,372,0.06
91750,371,0.06
62901,369,0.06
94606,368,0.06
92603,366,0.06
36081,366,0.06
48858,365,0.06
01854,364,0.06
20001,363,0.06
74075,363,0.06
32607,363,0.06
98034,361,0.06
91108,361,0.06
55108,359,0.06
35401,358,0.06
75075,358,0.06
15289,357,0.06
91367,356,0.06
91766,356,0.06
94401,356,0.06
37212,354,0.06
32603,350,0.06
93101,350,0.06
19713,350,0.06
26505,349,0.06
11229,348,0.06
94706,347,0.06
84102,346,0.06
94579,346,0.06
10594,346,0.06
19090,346,0.06
46202,346,0.06
10005,345,0.06
94041,345,0.06
94578,345,0.06
98012,344,0.06
45219,343,0.06
85718,342,0.06
83843,341,0.06
94703,340,0.06
20036,338,0.06
89103,337,0.06
94108,337,0.06
07306,336,0.06
11368,336,0.06
33647,334,0.06
92782,333,0.06
17603,333,0.06
94546,332,0.06
08904,331,0.06
16601,330,0.06
21211,330,0.06
47803,330,0.06
94607,329,0.06
10022,328,0.06
22201,328,0.06
56301,328,0.06
73071,327,0.06
98029,327,0.06
91739,324,0.06
60657,323,0.06
16563,323,0.06
98103,321,0.05
63701,320,0.05
77494,319,0.05
89113,319,0.05
01063,319,0.05
37203,319,0.05
70820,317,0.05
22801,316,0.05
91505,315,0.05
30339,314,0.05
02118,312,0.05
14226,311,0.05
02478,310,0.05
90036,310,0.05
91786,309,0.05
06226,309,0.05
10024,309,0.05
93940,308,0.05
11720,307,0.05
98011,307,0.05
06902,306,0.05
80526,306,0.05
94541,305,0.05
02472,304,0.05
11366,301,0.05
20878,301,0.05
94580,301,0.05
94582,300,0.05
95126,300,0.05
67601,299,0.05
02140,299,0.05
11590,299,0.05
02111,298,0.05
66047,298,0.05
91730,298,0.05
44074,298,0.05
56267,297,0.05
78741,297,0.05
94065,295,0.05
02481,295,0.05
10026,294,0.05
95076,294,0.05
58203,294,0.05
95123,293,0.05
98005,292,0.05
55987,292,0.05
89119,291,0.05
97361,291,0.05
10017,291,0.05
22032,291,0.05
12866,289,0.05
94063,289,0.05
91746,288,0.05
02142,288,0.05
07032,287,0.05
90020,287,0.05
92630,286,0.05
94002,286,0.05
27607,285,0.05
98195,284,0.05
84720,283,0.05
46556,282,0.05
68503,281,0.05
98075,280,0.05
11209,279,0.05
16509,278,0.05
06604,277,0.05
75074,277,0.05
90005,277,0.05
92886,277,0.05
40508,277,0.05
55057,277,0.05
48910,276,0.05
53711,276,0.05
21231,276,0.05
63501,275,0.05
68521,275,0.05
77036,275,0.05
89117,275,0.05
92831,274,0.05
20006,274,0.05
33612,274,0.05
53202,274,0.05
07094,273,0.05
91104,273,0.05
98087,273,0.05
10128,272,0.05
11357,272,0.05
30054,272,0.05
44120,272,0.05
10458,271,0.05
90028,271,0.05
19107,270,0.05
07093,269,0.05
14221,268,0.05
27519,268,0.05
92336,268,0.05
91942,267,0.05
92821,267,0.05
31210,267,0.05
06905,267,0.05
10012,266,0.05
19130,266,0.05
76201,266,0.05
77077,266,0.05
92127,266,0.05
98107,266,0.05
32303,266,0.05
48109,266,0.05
14261,265,0.05
01605,264,0.05
20002,264,0.05
66801,264,0.05
94542,263,0.04
07311,263,0.04
20742,263,0.04
23220,263,0.04
33073,263,0.04
30324,262,0.04
03755,260,0.04
66046,260,0.04
77025,260,0.04
91761,260,0.04
75025,258,0.04
80525,258,0.04
60614,258,0.04
10031,257,0.04
14214,257,0.04
28262,257,0.04
43402,256,0.04
54601,256,0.04
30096,254,0.04
76013,254,0.04
92120,254,0.04
93023,253,0.04
11232,253,0.04
15219,253,0.04
01760,251,0.04
91773,251,0.04
92707,251,0.04
32960,251,0.04
80305,250,0.04
85745,249,0.04
58102,249,0.04
13244,249,0.04
61874,248,0.04
32901,246,0.04
38655,246,0.04
55455,246,0.04
98102,246,0.04
11937,244,0.04
72401,244,0.04
60202,244,0.04
60632,244,0.04
06103,243,0.04
73034,243,0.04
95136,243,0.04
77845,242,0.04
60654,242,0.04
11238,242,0.04
17403,241,0.04
70112,241,0.04
94545,241,0.04
95008,241,0.04
98108,241,0.04
11361,240,0.04
54701,240,0.04
60115,240,0.04
95117,239,0.04
10314,239,0.04
11801,238,0.04
47304,238,0.04
68504,238,0.04
82072,238,0.04
94303,238,0.04
94806,237,0.04
10065,236,0.04
37909,236,0.04
78703,235,0.04
97405,234,0.04
11727,234,0.04
22904,234,0.04
11733,233,0.04
32773,233,0.04
94618,233,0.04
92123,232,0.04
19144,232,0.04
98036,232,0.04
85704,231,0.04
94111,231,0.04
65807,230,0.04
75093,230,0.04
27707,230,0.04
42101,230,0.04
90703,229,0.04
07086,229,0.04
10029,229,0.04
19717,229,0.04
48326,228,0.04
60660,228,0.04
02130,227,0.04
63103,227,0.04
91016,227,0.04
36082,226,0.04
98008,226,0.04
98104,225,0.04
84321,225,0.04
97229,224,0.04
97266,224,0.04
30606,224,0.04
39759,224,0.04
92129,223,0.04
04901,223,0.04
02143,222,0.04
02445,222,0.04
37130,222,0.04
60609,222,0.04
90263,222,0.04
95823,222,0.04
95128,221,0.04
08648,221,0.04
27516,221,0.04
50613,221,0.04
30308,220,0.04
92121,220,0.04
93105,220,0.04
23173,219,0.04
19148,218,0.04
92626,218,0.04
66045,217,0.04
53226,217,0.04
22033,217,0.04
23508,217,0.04
02151,216,0.04
22203,216,0.04
90405,216,0.04
30024,216,0.04
06279,215,0.04
11755,214,0.04
30097,213,0.04
46135,213,0.04
91302,213,0.04
50112,212,0.04
33174,211,0.04
46323,211,0.04
01375,211,0.04
01604,210,0.04
06510,210,0.04
07087,210,0.04
20008,210,0.04
30306,210,0.04
99354,209,0.04
98118,208,0.04
11206,208,0.04
33065,207,0.04
47201,207,0.04
75023,207,0.04
92111,207,0.04
94804,207,0.04
92110,206,0.04
94520,206,0.04
10021,206,0.04
47403,206,0.04
68005,205,0.04
91360,205,0.04
94588,205,0.04
97124,205,0.04
03784,205,0.04
11552,205,0.04
25703,205,0.04
13202,204,0.03
16686,204,0.03
75013,204,0.03
10305,203,0.03
02144,202,0.03
17013,202,0.03
18042,202,0.03
90503,202,0.03
94402,201,0.03
17837,201,0.03
32792,200,0.03
43023,200,0.03
94702,200,0.03
92117,199,0.03
11432,199,0.03
98037,199,0.03
45042,199,0.03
60613,198,0.03
87106,198,0.03
98040,198,0.03
32765,197,0.03
44805,196,0.03
98144,196,0.03
06066,196,0.03
08536,195,0.03
25701,195,0.03
27603,195,0.03
94566,195,0.03
95828,195,0.03
78249,194,0.03
90230,194,0.03
92128,194,0.03
45429,194,0.03
53511,194,0.03
23188,194,0.03
98021,193,0.03
98074,193,0.03
40504,193,0.03
49009,193,0.03
11385,192,0.03
27510,192,0.03
92549,192,0.03
92592,192,0.03
89118,191,0.03
19152,191,0.03
34786,191,0.03
90094,190,0.03
98155,190,0.03
06410,189,0.03
90815,189,0.03
93953,188,0.03
96817,188,0.03
19095,188,0.03
20783,188,0.03
20854,188,0.03
06281,187,0.03
16510,187,0.03
95116,187,0.03
78666,186,0.03
78759,186,0.03
20171,186,0.03
44118,185,0.03
12206,184,0.03
77004,184,0.03
80301,183,0.03
55105,183,0.03
11791,183,0.03
84108,182,0.03
87544,182,0.03
98059,182,0.03
98466,182,0.03
