order_date,total_purchases
2017-09-22,3360
2016-10-16,3358
2018-01-12,3358
2017-08-26,3344
2017-11-29,3340
2016-11-01,3337
2017-11-30,3332
2018-04-22,3332
2017-05-05,3331
2017-10-07,3327
2018-10-12,3326
2018-09-07,3322
2018-02-09,3317
2017-04-14,3310
2018-09-10,3305
2017-02-23,3301
2017-01-12,3299
2017-10-20,3299
2016-09-12,3276
2017-10-06,3275
2018-09-17,3273
2017-04-27,3271
2017-02-25,3268
2017-03-04,3267
2016-10-24,3260
2018-10-11,3260
2017-08-07,3256
2018-01-22,3245
2017-11-20,3241
2018-04-11,3233
2017-01-25,3232
2017-05-18,3227
2017-04-18,3224
2017-02-02,3216
2017-04-30,3215
2017-05-25,3203
2018-12-02,3199
2018-12-01,3195
2018-02-13,3193
2018-08-19,3187
2018-04-25,3184
2018-11-13,3184
2017-01-09,3183
2018-08-27,3180
2018-04-04,3175
2017-12-08,3174
2016-10-10,3172
2017-01-01,3171
2017-01-10,3162
2018-01-30,3161
2018-10-26,3161
2018-09-28,3155
2017-05-19,3153
2018-10-31,3144
2017-05-26,3127
2016-10-17,3124
2017-03-25,3123
2018-01-26,3122
2017-12-09,3119
2018-06-30,3116
2016-02-06,3111
2017-01-03,3093
2016-02-05,3092
2018-10-06,3092
2017-08-21,3089
2017-03-03,3088
2017-04-03,3088
2017-05-01,3087
2017-08-24,3084
2018-04-02,3083
2018-09-05,3081
2017-02-20,3080
2018-04-03,3074
2017-08-23,3072
2017-03-15,3071
2017-08-09,3068
2018-09-04,3064
2018-09-11,3064
2018-05-09,3062
2017-02-27,3060
2018-09-02,3059
2017-03-14,3055
2017-08-25,3055
2016-12-10,3054
2017-08-22,3053
2016-11-29,3052
2018-05-06,3051
2018-11-14,3044
2017-10-27,3043
2017-08-10,3041
2017-04-04,3039
2016-11-21,3037
2017-11-19,3036
2016-03-28,3031
2017-04-06,3028
2018-12-09,3026
2017-03-26,3016
2018-10-04,3014
2017-04-10,3011
2017-06-08,3009
2018-12-12,3008
2018-12-08,3000
2018-05-03,2999
2017-04-12,2998
2017-04-05,2997
2018-01-29,2996
2018-04-07,2992
2018-12-03,2992
2018-04-29,2991
2018-04-14,2990
2017-05-22,2988
2018-11-21,2986
2017-04-24,2983
2018-09-14,2978
2018-08-28,2976
2016-03-29,2967
2017-04-02,2967
2017-02-19,2964
2017-08-08,2964
2018-08-15,2961
2018-12-04,2961
2017-04-26,2959
2017-05-09,2959
2017-12-10,2954
2016-10-30,2953
2017-04-11,2952
